Item(s),Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
10,citrus fruit,pip fruit,root vegetables,whole milk,butter,whipped/sour cream,salt,tea,bottled water,chocolate,,,,,,,,,,,,,,,,,,,,,,
4,bottled beer,liquor (appetizer),dental care,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frankfurter,rolls/buns,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,frankfurter,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,pip fruit,whole milk,yogurt,soft cheese,sliced cheese,cream cheese,margarine,bottled water,fruit/vegetable juice,rum,cling film/bags,,,,,,,,,,,,,,,,,,,,,
3,citrus fruit,tropical fruit,oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,root vegetables,other vegetables,pastry,pickled vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,other vegetables,rolls/buns,soda,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,frankfurter,citrus fruit,other vegetables,whole milk,condensed milk,rolls/buns,white bread,coffee,fruit/vegetable juice,bottled beer,brandy,,,,,,,,,,,,,,,,,,,,,
2,meat,specialty chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,brown bread,flower (seeds),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,rolls/buns,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,sliced cheese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,root vegetables,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,root vegetables,herbs,yogurt,whipped/sour cream,UHT-milk,frozen vegetables,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,
5,hamburger meat,onions,whole milk,rolls/buns,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,whole milk,whipped/sour cream,sliced cheese,domestic eggs,rolls/buns,margarine,bottled water,fruit/vegetable juice,,,,,,,,,,,,,,,,,,,,,,,
1,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,domestic eggs,rolls/buns,brown bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,condensed milk,rolls/buns,coffee,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,beverages,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,whole milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,beef,whole milk,rolls/buns,canned vegetables,fruit/vegetable juice,waffles,chocolate,newspapers,,,,,,,,,,,,,,,,,,,,,,,,
1,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,chicken,citrus fruit,softener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,frozen vegetables,frozen meals,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,rolls/buns,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,hamburger meat,other vegetables,yogurt,brown bread,pastry,cat food,abrasive cleaner,dishes,,,,,,,,,,,,,,,,,,,,,,,,
9,frankfurter,tropical fruit,other vegetables,whole milk,soft cheese,curd cheese,cat food,hygiene articles,shopping bags,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,pip fruit,root vegetables,yogurt,whipped/sour cream,cream cheese,bottled water,dental care,newspapers,,,,,,,,,,,,,,,,,,,,,,,
1,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,yogurt,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UHT-milk,cream cheese,soda,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pastry,coffee,liquor (appetizer),red/blush wine,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,citrus fruit,pip fruit,other vegetables,UHT-milk,salty snack,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,white bread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,oil,detergent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,root vegetables,other vegetables,butter milk,rolls/buns,salt,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,pork,beef,whole milk,yogurt,sliced cheese,oil,,,,,,,,,,,,,,,,,,,,,,,,,,
6,tropical fruit,whole milk,yogurt,rolls/buns,pastry,waffles,,,,,,,,,,,,,,,,,,,,,,,,,,
10,sausage,tropical fruit,butter,yogurt,rolls/buns,pastry,instant coffee,bottled water,soda,newspapers,,,,,,,,,,,,,,,,,,,,,,
5,meat,whole milk,butter,hard cheese,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sausage,whole milk,whipped/sour cream,sliced cheese,coffee,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,curd,frozen meals,pastry,long life bakery product,waffles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,
2,whole milk,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,sausage,ham,whole milk,coffee,soda,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,
5,sausage,onions,spread cheese,bottled water,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,UHT-milk,cream cheese,coffee,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,frankfurter,beef,herbs,whole milk,rolls/buns,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,soda,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,citrus fruit,curd cheese,abrasive cleaner,house keeping products,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,chicken,berries,root vegetables,other vegetables,whole milk,butter,curd,condensed milk,rolls/buns,white bread,brown bread,oil,baking powder,salty snack,long life bakery product,,,,,,,,,,,,,,,,,
17,pork,hamburger meat,pip fruit,root vegetables,onions,other vegetables,whole milk,dessert,whipped/sour cream,soft cheese,hard cheese,domestic eggs,salt,pasta,cat food,fruit/vegetable juice,kitchen towels,,,,,,,,,,,,,,,
5,frankfurter,sausage,butter milk,rolls/buns,margarine,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pip fruit,whole milk,pastry,hygiene articles,napkins,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,chicken,pork,coffee,canned beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ham,hamburger meat,pip fruit,butter,butter milk,yogurt,frozen meals,rolls/buns,semi-finished bread,pasta,sweet spreads,waffles,softener,shopping bags,,,,,,,,,,,,,,,,,,
3,beverages,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,margarine,sugar,bottled water,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,pork,other vegetables,chewing gum,napkins,dishes,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ham,other vegetables,whole milk,whipped/sour cream,brown bread,oil,sugar,hygiene articles,,,,,,,,,,,,,,,,,,,,,,,,
7,berries,curd,yogurt,whipped/sour cream,rolls/buns,soda,female sanitary products,,,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,whole milk,curd,yogurt,sliced cheese,mayonnaise,frozen meals,pastry,soda,,,,,,,,,,,,,,,,,,,,,,,
9,tropical fruit,nuts/prunes,other vegetables,whole milk,dessert,sliced cheese,soda,bottled beer,napkins,,,,,,,,,,,,,,,,,,,,,,,
2,pastry,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,dessert,white bread,margarine,sugar,chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,whole milk,curd,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ice cream,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,sliced cheese,frozen meals,margarine,red/blush wine,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,beef,root vegetables,other vegetables,frozen vegetables,frozen dessert,domestic eggs,,,,,,,,,,,,,,,,,,,,,,,,,,
4,meat,hamburger meat,Instant food products,soda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,citrus fruit,berries,other vegetables,whole milk,frozen meals,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,
7,tropical fruit,pip fruit,rolls/buns,pastry,bottled water,fruit/vegetable juice,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,
4,sausage,whole milk,sliced cheese,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,whole milk,yogurt,frozen meals,bottled water,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,frozen meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,sausage,citrus fruit,root vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,sausage,other vegetables,whole milk,dessert,butter milk,yogurt,whipped/sour cream,brown bread,bottled water,soda,long life bakery product,cake bar,,,,,,,,,,,,,,,,,,,,
1,newspapers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,whole milk,curd,yogurt,whipped/sour cream,rolls/buns,coffee,bottled water,waffles,newspapers,,,,,,,,,,,,,,,,,,,,,,,
10,beef,citrus fruit,cream cheese,frozen fish,flour,margarine,sugar,baking powder,salty snack,chewing gum,,,,,,,,,,,,,,,,,,,,,,
12,pip fruit,grapes,berries,other vegetables,whole milk,UHT-milk,rolls/buns,zwieback,bottled water,soda,red/blush wine,specialty bar,,,,,,,,,,,,,,,,,,,,
2,yogurt,long life bakery product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,pork,frozen vegetables,pastry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ice cream,long life bakery product,specialty chocolate,specialty bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,chicken,hamburger meat,citrus fruit,root vegetables,other vegetables,cream cheese,curd cheese,domestic eggs,cat food,long life bakery product,,,,,,,,,,,,,,,,,,,,,,
6,citrus fruit,herbs,other vegetables,dessert,sugar,shopping bags,,,,,,,,,,,,,,,,,,,,,,,,,,
9,frankfurter,tropical fruit,other vegetables,whole milk,frozen meals,rolls/buns,detergent,napkins,newspapers,,,,,,,,,,,,,,,,,,,,,,,
7,sausage,butter,rolls/buns,pickled vegetables,soda,fruit/vegetable juice,waffles,,,,,,,,,,,,,,,,,,,,,,,,,
7,tropical fruit,other vegetables,domestic eggs,zwieback,ketchup,soda,dishes,,,,,,,,,,,,,,,,,,,,,,,,,
17,sausage,chicken,beef,hamburger meat,citrus fruit,grapes,root vegetables,whole milk,butter,whipped/sour cream,flour,coffee,red/blush wine,salty snack,chocolate,hygiene articles,napkins,,,,,,,,,,,,,,,
1,cooking chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,chicken,citrus fruit,other vegetables,butter,yogurt,frozen dessert,domestic eggs,rolls/buns,rum,cling film/bags,,,,,,,,,,,,,,,,,,,,,,
4,semi-finished bread,bottled water,soda,bottled beer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
